food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,meal_type,dietary_category,veg_category
Chicken Heart Cooked,268,11.5,3.3,2.9,3.3,0.1,0.0,38.3,0.0,350.9,0.081,94.0,0.033,0.1,0.1,0.034,1.1,4.1,3.8,0.5,2.6,0.0,0.0,0.0,27.6,0.7,13.1,29.0,0.2,288.6,191.4,0.027,10.6,93.286,snack,keto,non-veg
Lamb Tongue Cooked,701,51.7,20.0,25.5,3.2,0.0,0.0,55.0,0.0,482.0,0.2,147.5,0.0,0.2,0.082,0.027,1.1,9.4,0.9,0.4,17.9,0.0,0.0,0.0,25.5,0.5,6.7,40.8,0.076,341.7,402.9,0.072,7.6,156.8,dinner,keto,non-veg
Veal Heart Cooked,368,13.4,3.6,2.8,3.5,0.3,0.0,57.7,0.0,348.5,0.1,123.1,0.0,0.7,0.029,0.048,1.8,9.7,3.3,0.4,19.8,0.0,0.0,0.0,15.8,0.9,8.6,35.6,0.1,495.0,394.0,0.1,4.4,115.6,snack,keto,non-veg
Chicken Liver Cooked,76,2.8,0.9,0.6,0.6,0.5,0.0,11.3,0.0,248.2,0.079,28.7,0.006,1.9,0.1,0.2,0.015,1.0,6.1,3.7,0.4,1.2,0.0,0.3,0.0,4.4,0.2,5.7,11.9,0.2,194.5,138.6,0.052,15.238,snack,low-carb,non-veg
Lamb Pancreas Cooked,541,34.9,15.8,12.6,1.7,0.0,0.0,52.7,0.0,924.0,0.1,137.8,0.0,0.022,0.089,0.026,0.5,5.9,2.0,0.1,46.2,0.0,0.0,0.0,27.7,0.2,4.9,43.9,0.049,995.6,672.2,0.1,6.2,166.4,dinner,keto,non-veg
Veal Spleen Cooked,445,10.0,3.3,2.7,0.7,0.0,0.0,83.1,0.0,1542.2,0.2,245.8,0.0,0.2,0.022,0.051,1.0,18.4,0.0,0.2,138.0,0.0,0.0,0.0,24.2,3.2,25.4,48.3,0.3,1076.4,741.8,0.3,6.6,280.7,snack,low-carb,non-veg
Lamb Liver Cooked,739,29.6,11.5,6.2,4.4,8.5,0.0,102.7,0.0,1683.4,0.2,190.4,25.2,0.8,0.2,0.3,13.5,40.8,13.3,1.6,13.4,0.0,0.0,0.0,26.9,23.8,27.8,73.9,1.7,1411.2,742.6,0.4,26.5,234.1,dinner,keto,non-veg
Turkey Gizzard Cooked,70,2.1,0.5,0.4,0.3,0.0,0.0,11.9,0.0,203.4,0.031,31.1,0.091,0.03,0.045,0.067,0.2,2.9,0.2,0.027,2.8,0.0,0.025,0.0,7.7,0.1,1.7,9.5,0.063,84.2,86.9,0.033,1.8,26.231,snack,low-carb,non-veg
Lamp Spleen Cooked,460,14.1,4.7,3.7,1.0,0.0,0.0,78.1,0.0,1135.8,0.2,195.8,0.0,0.2,0.062,0.028,0.9,17.3,0.0,0.2,76.7,0.0,0.0,0.0,38.4,0.4,114.1,62.0,0.2,1006.0,731.6,0.1,11.6,321.4,dinner,keto,veg
Turkey Heart Cooked,35,1.5,0.4,0.3,0.4,0.0,0.0,5.0,0.0,71.8,0.046,13.4,0.085,0.07,0.091,0.089,0.3,1.6,0.3,0.1,0.6,0.0,0.013,0.0,4.2,0.2,1.4,5.6,0.017,48.2,40.6,0.001,0.9,12.759,snack,low-carb,non-veg
Beef Liver Cooked,130,3.6,1.2,0.4,0.4,3.5,0.0,19.8,0.0,269.3,0.068,40.0,0.2,6.4,0.1,0.2,0.01,2.3,11.9,4.8,0.7,1.3,0.034,0.3,0.07,4.1,9.7,4.4,14.3,0.2,338.0,239.4,0.023,37.539,snack,low-carb,non-veg
Lamb Lungs Cooked,431,11.8,4.0,3.0,1.6,0.0,0.0,75.7,0.0,1082.0,0.3,288.9,0.1,0.1,0.012,0.1,0.5,9.3,0.0,0.2,106.7,0.0,0.0,0.0,45.7,0.9,17.4,41.9,0.064,716.3,483.9,0.095,7.4,257.4,dinner,keto,non-veg
Pork Brain Cooked,527,36.3,8.2,6.6,5.6,0.0,0.0,46.4,0.0,9748.6,0.3,289.9,0.0,0.3,0.063,0.031,0.9,12.7,7.0,0.5,53.5,0.0,0.0,0.0,34.4,1.0,7.0,45.8,0.3,840.4,744.9,0.003,5.7,177.6,dinner,keto,non-veg
Goose Liver,125,4.0,1.5,0.8,0.2,5.9,0.0,15.4,0.0,484.1,0.1,67.5,8.8,0.5,0.7,0.022,0.8,6.1,5.8,0.7,4.2,0.0,0.0,0.0,40.4,7.1,28.7,22.6,0.0,245.3,216.2,0.067,2.9,107.4,snack,low-carb,non-veg
Pork Kidneys Cooked,211,6.6,2.1,2.2,0.5,0.0,0.0,35.6,0.0,672.0,0.1,96.2,0.1,0.6,0.098,0.028,2.2,8.1,4.0,0.6,14.8,0.0,0.0,0.0,18.2,1.0,7.4,25.2,0.2,336.0,200.2,0.4,5.8,82.7,snack,low-carb,non-veg
Lamb Brain Cooked,503,35.3,9.0,6.4,3.6,0.0,0.0,43.5,0.0,7089.2,0.5,262.8,0.0,0.4,0.007,0.088,0.8,8.6,3.4,0.4,41.6,0.0,0.0,0.0,41.6,0.7,5.8,48.6,0.2,1169.4,711.4,0.066,4.7,167.8,dinner,keto,non-veg
Pork Heart Cooked,215,7.3,1.9,1.7,1.9,0.6,0.0,34.2,0.0,320.5,0.053,98.7,0.017,0.8,0.023,0.0,2.5,8.8,3.6,0.6,2.9,0.0,0.0,0.0,10.2,0.7,8.5,34.8,0.1,258.1,298.7,0.082,4.5,63.745,snack,low-carb,non-veg
Lamb Kidneys Cooked,349,9.2,3.1,2.0,1.7,2.5,0.0,60.3,0.0,1440.8,0.4,179.6,0.3,0.9,0.2,0.2,5.3,15.3,5.2,0.3,30.6,0.0,0.0,0.0,45.9,0.9,31.6,51.0,0.4,739.5,453.9,0.6,9.7,180.4,snack,low-carb,non-veg
Beef Lungs Cooked,364,11.2,3.8,2.9,1.5,0.0,0.0,61.8,0.0,839.3,0.3,231.5,0.095,0.1,0.062,0.09,0.4,7.6,1.9,0.066,99.1,0.0,0.0,0.0,33.3,0.7,16.4,30.3,0.015,539.3,524.2,0.2,5.0,221.858,snack,keto,non-veg
Veal Pancreas Cooked,614,35.0,12.0,12.1,6.5,0.0,0.0,69.8,0.0,0.0,0.2,133.7,0.0,0.4,0.068,0.082,1.2,10.0,0.0,0.5,14.4,0.0,0.0,0.0,43.2,0.2,5.7,57.6,0.6,1228.8,667.2,0.098,12.5,168.1,dinner,keto,non-veg
Pork Liver Cooked,584,15.6,5.0,2.2,3.7,13.3,0.0,92.1,0.0,1256.7,0.2,227.7,19.1,0.9,0.6,0.071,7.8,29.9,16.9,2.0,83.5,0.0,0.0,0.0,35.4,2.2,63.4,49.6,1.1,853.1,531.0,0.2,23.8,322.4,dinner,keto,non-veg
Beef Kidneys Cooked,45,1.3,0.3,0.2,0.2,0.0,0.0,7.7,0.0,202.6,0.029,18.9,0.0,0.001,0.073,0.013,0.8,1.1,0.4,0.1,0.0,0.095,0.099,0.0,5.4,0.2,1.6,3.4,0.007,86.0,38.2,0.049,0.8,16.0,snack,low-carb,non-veg
Turkey Giblets Cooked,164,6.3,1.6,1.0,1.5,0.0,0.0,25.1,0.0,495.0,0.1,63.3,0.095,4.4,0.2,0.3,0.063,1.5,8.2,2.2,0.5,0.0,0.0,0.1,0.014,17.1,0.7,3.2,23.8,0.2,236.6,168.2,0.072,32.643,snack,low-carb,non-veg
Veal Liver Cooked,154,5.0,1.6,0.9,0.9,3.0,0.0,22.7,0.0,408.8,0.046,47.9,0.2,16.9,0.1,0.3,0.09,2.3,10.5,5.2,0.7,0.9,0.0,0.5,0.043,4.8,12.0,4.1,16.0,0.2,368.0,263.2,0.043,43.638,snack,low-carb,non-veg
Pork Lungs Cooked,297,9.3,3.3,2.1,1.1,0.0,0.0,49.8,0.0,1161.0,0.2,240.0,0.0,0.2,0.069,0.049,1.0,4.1,2.0,0.2,23.7,0.0,0.0,0.0,24.0,0.2,49.2,36.0,0.029,558.0,453.0,0.085,7.4,156.0,snack,low-carb,non-veg
Veal Lungs Cooked,312,7.9,2.7,2.0,1.1,0.0,0.0,56.2,0.0,789.0,0.2,232.8,0.0,0.072,0.032,0.016,0.4,6.9,0.0,0.2,102.0,0.0,0.0,0.0,21.0,0.7,10.8,24.0,0.082,696.0,426.0,0.067,3.6,197.9,snack,low-carb,non-veg
Ham,46,2.5,0.1,1.2,0.2,1.0,0.3,4.6,0.4,16.0,0.2,18.8,0.0,0.2,0.079,0.074,0.094,0.8,0.1,0.041,1.1,0.08,0.076,0.0,6.7,0.002,0.3,6.2,0.2,42.8,80.4,0.063,0.4,16.6,snack,low-carb,non-veg
Pork Meat Cooked,283,14.1,4.4,6.8,2.1,0.0,0.0,14.1,0.0,112.6,0.7,79.2,0.02,0.8,0.0,0.044,0.3,11.0,0.7,0.7,0.0,0.095,0.0,0.0,10.7,0.082,0.7,41.5,0.077,369.8,615.1,0.048,2.6,39.657,snack,keto,non-veg
Bacon Roasted,43,3.3,1.1,1.5,0.4,0.1,0.0,3.0,0.0,8.8,0.034,1.0,0.0,0.037,0.05,0.007,0.081,0.015,0.9,0.051,0.09,0.0,0.002,0.039,0.097,0.9,0.096,0.1,2.6,0.003,42.6,45.2,0.09,6.516,snack,low-carb,veg
Pork Spareribs Cooked,703,53.6,19.7,23.9,4.8,0.0,0.0,51.4,0.0,214.2,0.2,71.5,0.065,0.7,0.022,0.016,0.7,9.7,1.3,0.6,0.0,0.043,0.6,0.0,83.2,0.3,3.3,42.5,0.083,462.0,566.4,0.092,8.1,191.598,dinner,keto,non-veg
Pork Stomach Cooked,44,2.1,0.8,0.6,0.2,0.029,0.0,6.1,0.0,89.4,0.035,20.0,0.0,0.08,0.09,0.067,0.05,0.4,0.2,0.038,0.0,0.0,0.087,0.0,4.2,0.048,0.3,4.2,0.015,36.5,24.1,0.077,0.8,12.779,snack,low-carb,non-veg
Honey Smoked Ham Cooked,67,1.3,0.6,0.9,0.2,4.0,0.0,9.9,0.0,12.1,0.5,38.5,0.0,0.2,0.013,0.091,0.097,1.3,0.1,0.1,0.3,0.0,0.0,0.0,3.3,0.039,0.2,4.4,0.096,211.2,90.8,0.099,0.5,19.0,snack,low-carb,non-veg
Pork Sirloin Chops Cooked,140,4.5,1.5,1.8,0.8,0.0,0.0,23.3,0.0,65.6,0.001,53.9,0.075,0.075,0.5,0.0,0.07,0.2,6.4,0.8,0.4,0.0,0.01,0.1,0.0,9.0,0.012,0.6,20.5,0.073,238.6,337.0,0.043,28.239,snack,low-carb,non-veg
Ham Patties,205,18.3,6.6,8.6,2.0,1.1,0.0,8.3,0.0,45.5,0.7,35.4,0.0,0.3,0.061,0.084,0.1,2.0,0.2,0.1,0.0,0.0,0.0,0.0,5.2,0.039,0.7,6.5,0.064,96.9,155.4,0.075,1.0,33.6,snack,keto,non-veg
Pork Feet Cooked,67,4.5,1.2,2.3,0.4,0.0,0.0,6.2,0.0,30.3,0.046,17.8,0.0,0.08,0.014,0.048,0.029,0.2,0.047,0.081,0.0,0.0,0.054,0.0,0.0,0.014,0.3,1.4,0.017,23.2,9.3,0.04,0.3,11.0,snack,low-carb,non-veg
Ground Pork Cooked,930,65.0,24.2,29.0,5.9,0.0,0.0,80.4,0.0,294.2,0.2,165.1,0.01,2.2,0.005,0.058,0.7,13.2,1.6,1.2,2.2,0.066,0.7,0.0,68.9,0.1,4.0,75.1,0.081,707.4,1133.1,0.1,10.0,220.513,dinner,keto,non-veg
Pork Centre Loin Chops Cooked,328,17.4,5.5,6.6,2.1,0.0,0.0,40.2,0.0,131.9,0.065,97.8,0.2,0.021,0.9,0.0,0.059,0.4,12.8,1.0,1.1,0.0,0.089,0.2,0.0,37.7,0.1,1.2,39.3,0.005,345.4,540.1,0.07,59.0,snack,keto,non-veg
Pork Leg Cap Steak Cooked,307,8.6,2.6,3.7,1.1,0.0,0.0,53.5,0.0,157.1,0.1,133.3,0.0,0.9,0.071,0.068,0.8,15.9,1.5,0.8,0.0,0.0,0.2,0.0,13.6,0.1,1.9,44.6,0.061,428.7,710.0,0.035,8.0,77.6,snack,low-carb,non-veg
Pork Splean Cooked,446,9.6,3.2,2.6,0.7,0.0,0.0,84.3,0.0,1507.0,0.3,199.4,0.0,0.4,0.002,0.071,0.8,17.8,2.7,0.2,34.7,0.0,0.0,0.0,38.9,0.4,66.5,44.9,0.1,846.2,678.7,0.1,10.6,234.0,snack,low-carb,non-veg
Chopped Ham,50,2.9,1.0,1.4,0.4,1.2,0.0,4.6,0.0,16.5,0.3,18.3,0.0,0.2,0.008,0.006,0.035,1.1,0.0,0.01,0.0,0.025,0.087,0.0,2.0,0.049,0.2,4.5,0.0,43.4,89.3,0.098,0.5,10.9,snack,low-carb,non-veg
Pork Blade Chops Cooked,265,14.6,4.3,5.1,1.9,1.1,0.0,32.4,0.0,100.9,0.072,81.4,0.069,0.8,0.0,0.068,0.3,10.1,1.5,0.7,0.0,0.028,0.3,0.0,10.5,0.1,1.2,31.4,0.076,355.0,533.2,0.085,3.0,59.882,snack,keto,non-veg
Boston Butt Steak Cooked,494,32.7,12.2,14.8,3.8,0.0,0.0,46.4,0.0,181.3,0.1,101.7,0.066,0.9,0.0,0.064,0.7,7.2,2.4,0.8,0.0,0.051,0.2,0.0,48.1,0.2,3.2,42.6,0.063,384.8,564.3,0.04,9.0,130.498,dinner,keto,veg
Pork Blade Steak Braised,694,44.7,16.6,20.1,5.3,0.087,0.0,68.2,0.0,256.1,0.4,148.2,0.4,0.0,1.1,0.0,0.1,0.9,9.5,3.5,1.2,0.0,0.032,0.3,0.0,71.3,0.5,4.5,52.8,0.06,599.3,976.8,0.1,115.063,dinner,keto,non-veg
Pork Boston Steaks Cooked,438,28.1,10.1,12.5,2.5,0.0,0.0,43.2,0.0,160.6,0.1,96.8,0.06,1.2,0.096,0.046,0.7,6.9,1.2,0.5,0.5,0.091,0.5,0.0,60.8,0.003,2.4,35.5,0.037,354.9,550.9,0.06,7.6,135.049,dinner,keto,non-veg
Bacon Cooked,43,3.1,1.1,1.4,0.5,0.068,0.0,3.5,0.0,10.1,0.2,1.9,0.053,0.0,0.031,0.0,0.037,0.066,1.0,0.1,0.047,0.0,0.0,0.009,0.0,1.2,0.047,0.1,3.1,0.071,35.4,47.8,0.064,6.747,snack,low-carb,veg
Pickled Pork Hocks,48,3.0,0.9,1.5,0.3,0.0,0.0,5.4,0.0,25.2,0.3,19.2,0.055,0.056,0.058,0.061,0.066,0.3,0.02,0.047,0.0,0.0,0.047,0.0,5.4,0.063,0.3,1.7,0.018,17.0,13.3,0.089,0.7,14.146,snack,low-carb,non-veg
Pork Boston Roast Cooked,705,49.4,18.3,21.7,4.6,0.0,0.0,60.5,0.0,225.3,0.2,150.6,0.061,1.7,0.084,0.041,0.9,10.6,1.7,0.6,1.8,0.029,0.5,0.0,73.4,0.3,3.8,47.2,0.052,516.1,869.8,0.022,10.4,188.948,dinner,keto,non-veg
Canadian Style Bacon Grilled,43,2.0,0.7,0.9,0.2,0.3,0.0,5.7,0.0,13.6,0.4,14.5,0.0,0.2,0.07,0.03,0.054,1.6,0.1,0.1,0.0,0.048,0.061,0.0,2.4,0.043,0.2,4.9,0.023,69.6,91.7,0.058,0.4,10.6,snack,low-carb,veg
Ham Steak,70,2.4,0.8,1.1,0.3,0.0,0.0,11.1,0.0,25.7,0.7,41.2,0.0,0.5,0.064,0.08,0.1,2.9,0.4,0.2,18.4,0.0,0.0,0.0,2.3,0.05,0.6,10.8,0.011,148.2,185.3,0.068,1.2,34.8,snack,low-carb,non-veg
Bacon Baked,44,3.5,1.1,1.5,0.4,0.1,0.0,2.9,0.0,8.7,0.2,1.0,0.0,0.052,0.09,0.095,0.053,0.058,0.9,0.077,0.084,0.0,0.0,0.038,0.047,0.8,0.054,0.1,2.4,0.078,41.0,43.7,0.003,6.673,snack,low-carb,veg
Pork Top Loin Chops Cooked,270,11.2,4.3,4.9,1.7,0.0,0.0,39.4,0.0,97.2,0.064,84.3,0.062,0.02,0.7,0.0,0.067,0.3,13.4,1.4,0.7,0.0,0.043,0.3,0.0,16.2,0.1,1.2,31.1,0.052,298.4,352.4,0.079,51.481,snack,keto,non-veg
Pork Chitterlings Cooked,66,5.8,2.7,2.0,0.3,0.0,0.0,3.5,0.0,78.4,0.078,19.2,0.0,0.0,0.099,0.024,0.056,0.093,0.065,0.059,0.0,0.0,0.0,0.083,0.0,7.1,0.056,0.4,2.5,0.033,18.7,4.0,0.07,9.329,snack,low-carb,non-veg
Pork Breakfast Strips Cooked,52,4.1,1.4,1.9,0.6,0.1,0.0,3.3,0.0,11.9,0.2,3.0,0.0,0.039,0.02,0.02,0.073,0.9,0.1,0.068,0.0,0.066,0.057,0.0,1.6,0.054,0.2,2.9,0.085,29.9,52.7,0.061,0.4,9.3,snack,low-carb,non-veg
Minced Ham,55,4.3,1.5,2.0,0.5,0.4,0.0,3.4,0.0,14.7,0.3,12.0,0.0,0.1,0.094,0.059,0.073,0.9,0.094,0.081,0.0,0.058,0.012,0.0,2.1,0.029,0.2,3.4,0.074,33.0,65.3,0.048,0.4,10.4,snack,low-carb,non-veg
Ham Roasted,316,21.3,7.1,9.9,2.5,0.6,0.0,28.7,0.0,86.8,1.3,85.3,0.0,1.1,0.033,0.054,0.4,7.4,1.0,0.4,19.6,0.0,0.0,0.0,11.2,0.2,1.9,23.8,0.084,340.2,499.8,0.053,3.5,83.3,snack,keto,non-veg
Ham Extra Lean,45,2.3,0.8,1.1,0.3,0.6,0.0,5.1,0.0,14.8,0.4,18.7,0.0,0.2,0.022,0.097,0.028,1.4,0.1,0.1,0.0,0.094,0.04,0.0,2.0,0.075,0.3,5.0,0.049,66.1,83.2,0.041,0.6,10.3,snack,low-carb,non-veg
Pork Feet Pickled,635,45.5,13.4,25.8,3.6,0.029,0.0,52.8,0.0,376.5,4.3,340.2,0.098,0.031,0.061,0.003,0.085,1.0,1.2,0.058,0.0,0.01,1.0,0.0,145.2,0.2,1.4,49.9,0.049,394.6,59.0,0.003,0.9,245.019,dinner,keto,non-veg
Pork Shoulder Cooked,394,28.9,10.6,12.8,2.8,0.0,0.0,31.4,0.0,121.5,0.001,74.0,0.004,0.8,0.065,0.007,0.4,5.4,0.8,0.4,0.7,0.007,0.3,0.0,32.4,0.2,1.8,24.3,0.084,286.2,444.2,0.026,5.0,95.226,snack,keto,non-veg
Pork Skin,154,8.9,3.2,4.2,1.0,0.0,0.0,17.3,0.0,26.9,0.5,0.5,0.037,0.009,0.0,0.036,0.034,0.4,0.1,0.096,0.1,0.0,0.1,0.0,8.5,0.033,0.2,3.1,0.066,24.1,35.9,0.062,0.2,35.03,snack,low-carb,non-veg
Pork Country Style Ribs Cooked,235,15.2,5.4,6.6,1.8,0.0,0.0,22.8,0.0,88.6,0.049,46.4,0.098,0.4,0.0,0.016,0.2,4.8,1.2,0.4,0.0,0.09,0.1,0.0,29.2,0.072,1.2,19.8,0.025,173.7,247.7,0.026,3.6,68.402,snack,keto,non-veg
Pork Tenderloin Cooked,153,6.2,2.2,2.5,0.6,0.0,0.0,22.7,0.0,71.4,0.091,46.4,0.017,0.7,0.051,0.014,0.3,3.8,0.7,0.4,0.8,0.0,0.0,0.0,3.8,0.045,1.1,26.6,0.072,220.4,337.4,0.082,2.2,34.679,snack,low-carb,non-veg
Pork Loin Cooked,213,12.1,4.5,5.4,1.0,0.0,0.0,24.2,0.0,71.2,0.077,51.9,0.008,0.6,0.066,0.024,0.2,3.9,0.6,0.3,0.5,0.007,0.2,0.0,18.7,0.006,1.0,16.9,0.033,161.1,332.9,0.02,2.1,56.575,snack,keto,non-veg
Pork Ears Cooked,184,12.0,4.3,5.5,1.3,0.2,0.0,17.7,0.0,99.9,0.2,80.6,0.0,0.004,0.0,0.0,0.07,0.6,0.051,0.066,0.0,0.0,0.0,0.0,20.0,0.086,1.7,7.8,0.086,26.6,44.4,0.044,0.2,51.6,snack,keto,non-veg
Pork Tongue Cooked,626,43.0,14.9,20.2,4.5,0.0,0.0,55.7,0.0,337.3,0.3,131.4,0.0,0.7,0.019,0.077,1.2,12.3,1.2,0.5,3.9,0.0,0.0,0.0,43.9,0.3,11.5,46.2,0.054,401.9,547.5,0.04,10.5,158.0,dinner,keto,non-veg
Ham Patties Grilled,205,18.5,6.7,8.8,2.0,1.0,0.0,8.0,0.0,43.2,0.6,30.8,0.0,0.2,0.034,0.046,0.1,1.9,0.2,0.085,0.0,0.056,0.3,0.0,5.4,0.043,1.0,6.0,0.045,60.6,146.4,0.028,1.1,33.9,snack,keto,non-veg
Chicken Skin Roasted,508,45.6,12.8,19.1,9.6,0.0,0.0,22.8,0.0,93.0,0.028,45.1,0.083,0.021,0.08,0.099,0.1,6.3,0.8,0.1,0.0,0.026,0.4,0.032,15.7,0.034,1.7,16.8,0.083,140.0,152.3,0.2,1.4,85.844,dinner,keto,non-veg
Chicken Wing Cooked,52,3.5,1.0,1.4,0.8,0.0,0.0,4.8,0.0,14.7,0.086,13.1,0.041,0.036,0.071,0.092,0.097,1.0,0.1,0.086,0.0,0.022,0.052,0.092,2.5,0.095,0.2,3.4,0.041,25.4,29.2,0.092,0.3,11.058,snack,low-carb,non-veg
Turkey Roast Roasted,209,7.8,2.6,1.6,2.2,4.1,0.0,28.8,0.0,71.6,0.9,91.6,0.0,0.058,0.054,0.079,0.2,8.5,1.1,0.4,0.0,0.084,0.5,0.09,6.8,0.037,2.2,29.7,0.066,329.4,402.3,0.081,3.4,49.7,snack,low-carb,non-veg
Chicken Back Cooked,93,6.5,1.8,2.6,1.4,0.0,0.0,8.0,0.0,28.1,0.091,21.9,0.005,0.026,0.035,0.052,0.035,1.6,0.3,0.048,0.0,0.084,0.074,0.051,6.5,0.052,0.4,5.8,0.016,43.2,52.2,0.055,0.7,21.425,snack,low-carb,non-veg
Chicken Leg Fried,431,25.5,6.8,10.4,6.1,13.8,0.0,34.4,0.5,142.2,0.4,82.3,0.07,0.2,0.089,0.056,0.3,8.6,1.6,0.4,0.0,0.0,0.0,0.0,28.4,0.1,2.2,31.6,0.043,240.2,298.6,0.041,3.4,104.858,dinner,keto,non-veg
Chicken Feet Cooked,975,66.2,17.8,24.9,13.5,0.9,0.0,88.0,0.0,381.0,0.3,298.5,0.1,0.3,0.4,0.011,0.9,1.8,0.0,0.052,0.0,0.068,1.2,0.036,399.2,0.5,4.1,22.7,0.0,376.5,140.6,0.033,3.1,558.5,dinner,keto,non-veg
Turkey Steak Fried,179,10.8,2.8,4.4,2.8,10.9,0.0,9.1,0.0,41.0,0.5,31.6,0.092,0.075,0.071,0.088,0.1,1.3,0.3,0.1,0.0,0.0,0.0,0.0,9.0,0.01,1.4,9.6,0.028,149.8,166.4,0.013,0.9,41.229,snack,keto,non-veg
Turkey Taco Meat Cooked,271,13.9,3.2,4.7,3.9,5.5,0.0,30.7,0.0,129.9,1.2,128.1,0.0,0.1,0.051,0.062,0.6,5.5,1.1,0.5,0.0,0.0,0.5,0.089,126.3,0.072,3.3,49.4,0.3,329.4,543.5,0.067,4.6,179.7,snack,keto,non-veg
Chicken Neck Cooked,94,6.9,1.9,2.7,1.5,0.0,0.0,7.5,0.0,26.6,0.085,23.5,0.065,0.05,0.078,0.079,0.035,1.3,0.2,0.033,0.0,0.087,0.1,0.032,10.3,0.065,0.9,4.9,0.095,46.4,41.0,0.054,1.0,25.616,snack,low-carb,non-veg
Chicken Drumstick Fried,193,11.3,3.0,4.6,2.7,6.0,0.0,15.8,0.2,61.9,0.2,38.0,0.028,0.049,0.065,0.061,0.2,3.7,1.2,0.2,0.0,0.0,0.0,0.0,12.2,0.063,1.0,14.4,0.004,105.8,133.9,0.018,1.7,46.519,snack,keto,non-veg
Quail Egg,14,1.0,0.3,0.4,0.1,0.08,0.048,1.2,0.0,76.0,0.042,6.7,0.083,0.014,0.089,0.039,0.001,0.076,0.2,0.016,0.0,0.047,0.03,0.01,5.8,0.078,0.3,1.2,0.061,20.3,11.9,0.091,0.1,8.343,snack,low-carb,non-veg
Duck Meat Cooked,472,39.7,13.5,18.1,5.1,0.0,0.0,26.6,0.0,117.6,0.041,72.6,0.008,0.2,0.073,0.098,0.4,6.8,1.5,0.3,0.0,0.067,1.0,0.047,15.4,0.3,3.8,22.4,0.071,218.4,285.6,0.092,2.6,85.544,dinner,keto,non-veg
Chicken Wing Roasted,216,14.3,4.2,6.6,3.1,0.0,0.0,20.2,0.0,119.9,0.039,50.5,0.073,0.017,0.005,0.069,0.08,0.1,5.4,0.8,0.5,0.0,0.094,0.6,0.024,15.3,0.092,0.7,16.2,0.095,125.0,180.2,0.032,35.155,snack,keto,non-veg
Goose Meat Cooked,427,30.7,9.6,14.4,3.5,0.0,0.0,35.2,0.0,127.4,0.089,72.7,0.081,0.1,0.039,0.076,0.5,5.8,2.1,0.5,0.0,0.002,2.4,0.026,18.2,0.4,4.0,30.8,0.082,378.0,460.6,0.047,3.7,88.168,dinner,keto,non-veg
Chicken Breast Cooked,114,4.5,1.3,1.8,1.0,0.0,0.0,17.3,0.0,48.7,0.058,36.2,0.08,0.018,0.092,0.074,0.056,7.4,0.5,0.3,0.0,0.019,0.2,0.004,8.1,0.012,0.6,15.7,0.024,124.1,142.1,0.046,0.6,30.552,snack,low-carb,non-veg
Duck Egg,130,9.6,2.6,4.6,0.9,1.0,0.7,9.0,0.0,618.8,0.1,49.6,0.1,0.1,0.09,0.02,0.3,0.1,1.3,0.2,0.0,0.026,0.9,0.098,44.8,0.035,2.7,11.9,0.058,154.0,155.4,0.058,1.0,67.2,snack,low-carb,non-veg
Turkey Meat Roasted,284,11.1,3.2,4.0,3.2,0.031,0.0,42.8,0.0,163.5,0.2,95.3,0.004,0.073,0.083,0.019,0.4,14.4,1.4,0.9,0.0,0.091,0.1,0.0,21.0,0.1,1.6,45.0,0.053,334.5,358.5,0.022,3.7,76.629,snack,keto,non-veg
Ground Chicken Cooked,474,27.4,7.8,12.2,5.2,0.0,0.0,58.4,0.0,268.6,0.2,162.9,0.2,0.0,0.3,0.093,0.079,0.8,17.8,3.3,1.4,0.0,0.0,1.0,0.044,20.1,0.2,2.3,70.3,0.038,587.3,1699.3,0.047,87.678,dinner,keto,non-veg
Turkey Wing Cooked,426,23.1,6.3,8.7,5.5,0.0,0.0,50.9,0.0,150.7,0.1,110.7,0.0,0.092,0.095,0.051,0.2,10.7,1.1,0.8,0.0,0.03,0.3,0.0,44.6,0.1,2.7,46.5,0.05,366.4,494.8,0.026,3.9,121.3,dinner,keto,non-veg
Chicken Fajita Strips,13,0.5,0.2,0.2,0.1,0.2,0.0,1.7,0.0,8.3,0.044,6.6,0.041,0.028,0.062,0.011,0.021,0.4,0.005,0.049,0.0,0.0,0.031,0.015,1.2,0.034,0.097,2.1,0.099,26.0,26.7,0.018,0.1,3.66,snack,low-carb,non-veg
Crispy Chicken Strips Tyson,145,6.0,7.7,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,snack,low-carb,non-veg
